trial,l,l0,l_norm,c,c0,c_norm
1,3.2708388388388387,50.450450450450454,0.06483269841269841,0.011872623781447319,0.6666666666666636,0.01780893567217106
2,3.273009009009009,50.450450450450454,0.06487571428571429,0.013838585434173696,0.6666666666666636,0.020757878151260636
3,3.27222022022022,50.450450450450454,0.06486007936507936,0.012722677649148261,0.6666666666666636,0.01908401647372248
4,3.2703523523523526,50.450450450450454,0.06482305555555555,0.010998162131985671,0.6666666666666636,0.016497243197978583
5,3.272148148148148,50.450450450450454,0.06485865079365079,0.010879023754023765,0.6666666666666636,0.016318535631035722
6,3.270004004004004,50.450450450450454,0.06481615079365079,0.010597998784840901,0.6666666666666636,0.015896998177261423
7,3.2693893893893895,50.450450450450454,0.06480396825396825,0.00991698645351897,0.6666666666666636,0.014875479680278523
8,3.2713953953953956,50.450450450450454,0.06484373015873016,0.010328418691731397,0.6666666666666636,0.015492628037597166
9,3.269803803803804,50.450450450450454,0.06481218253968254,0.010394519043048453,0.6666666666666636,0.01559177856457275
10,3.2713793793793795,50.450450450450454,0.06484341269841269,0.012823740964917445,0.6666666666666636,0.019235611447376254
