trial,l,l0,l_norm,c,c0,c_norm
1,50.450450450450454,50.450450450450454,1.0,0.6666666666666636,0.6666666666666636,1.0
2,50.450450450450454,50.450450450450454,1.0,0.6666666666666636,0.6666666666666636,1.0
3,50.450450450450454,50.450450450450454,1.0,0.6666666666666636,0.6666666666666636,1.0
4,50.450450450450454,50.450450450450454,1.0,0.6666666666666636,0.6666666666666636,1.0
5,38.99151951951952,50.450450450450454,0.772867619047619,0.6663510101010072,0.6666666666666636,0.9995265151515152
6,50.450450450450454,50.450450450450454,1.0,0.6666666666666636,0.6666666666666636,1.0
7,50.450450450450454,50.450450450450454,1.0,0.6666666666666636,0.6666666666666636,1.0
8,39.5705025025025,50.450450450450454,0.7843438888888887,0.6664232323232293,0.6666666666666636,0.9996348484848485
9,50.450450450450454,50.450450450450454,1.0,0.6666666666666636,0.6666666666666636,1.0
10,50.450450450450454,50.450450450450454,1.0,0.6666666666666636,0.6666666666666636,1.0
