trial,l,l0,l_norm,c,c0,c_norm
1,2.327676767676768,5.454545454545454,0.4267407407407408,0.22795820845820827,0.6666666666666659,0.3419373126873128
2,2.340606060606061,5.454545454545454,0.42911111111111117,0.2426518481518481,0.6666666666666659,0.3639777722277726
3,2.3212121212121213,5.454545454545454,0.4255555555555556,0.20993273393273384,0.6666666666666659,0.31489910089910117
4,2.3153535353535353,5.454545454545454,0.4244814814814815,0.19423620823620816,0.6666666666666659,0.2913543123543126
5,2.3305050505050504,5.454545454545454,0.4272592592592593,0.23306920856920857,0.6666666666666659,0.34960381285381326
6,2.331111111111111,5.454545454545454,0.42737037037037034,0.24373809523809511,0.6666666666666659,0.36560714285714313
7,2.3147474747474748,5.454545454545454,0.4243703703703704,0.21290620490620477,0.6666666666666659,0.31935930735930756
8,2.327272727272727,5.454545454545454,0.4266666666666667,0.22391908091908078,0.6666666666666659,0.33587862137862157
9,2.334949494949495,5.454545454545454,0.42807407407407416,0.23444061494061483,0.6666666666666659,0.35166092241092267
10,2.3244444444444445,5.454545454545454,0.4261481481481482,0.2094429459429458,0.6666666666666659,0.3141644189144191
