trial,l,l0,l_norm,c,c0,c_norm
1,4.975959595959596,5.454545454545454,0.9122592592592593,0.6553686868686863,0.6666666666666659,0.9830530303030307
2,4.793939393939394,5.454545454545454,0.8788888888888889,0.660787878787878,0.6666666666666659,0.9911818181818183
3,4.622222222222222,5.454545454545454,0.8474074074074074,0.6581868686868684,0.6666666666666659,0.9872803030303038
4,4.303636363636364,5.454545454545454,0.789,0.6571969696969693,0.6666666666666659,0.9857954545454551
5,4.287676767676768,5.454545454545454,0.7860740740740741,0.6567424242424235,0.6666666666666659,0.9851136363636364
6,4.686262626262626,5.454545454545454,0.8591481481481481,0.6611161616161609,0.6666666666666659,0.9916742424242426
7,4.402222222222222,5.454545454545454,0.807074074074074,0.6595757575757568,0.6666666666666659,0.9893636363636364
8,4.72020202020202,5.454545454545454,0.8653703703703705,0.6642323232323227,0.6666666666666659,0.9963484848484853
9,5.454545454545454,5.454545454545454,1.0,0.6666666666666659,0.6666666666666659,1.0
10,4.562828282828283,5.454545454545454,0.8365185185185187,0.6535303030303026,0.6666666666666659,0.9802954545454551
