p,l_mean,l_std,c_mean,c_std
0.05,0.0270351492652,0.000189463215467,0.861654369381,0.00309901883262
0.1,0.0224608645687,0.000107120370623,0.736333235431,0.00475113972412
0.15,0.0204678382109,4.69846401971e-05,0.62321419697,0.00281959384536
0.2,0.0192720238658,8.01016608097e-05,0.521220260989,0.00773544375201
0.25,0.0184355846006,4.13487189496e-05,0.429064053917,0.00499790593558
0.3,0.0178674447284,3.65311794767e-05,0.352140209213,0.00517231449328
0.35,0.0174075352716,1.80045260053e-05,0.277584073217,0.003450054188
0.4,0.0170692958466,2.40681141904e-05,0.220381322997,0.00384213856357
0.45,0.0167720441534,1.56830981213e-05,0.168210279456,0.00226397974449
0.5,0.0165512266134,5.04152026926e-06,0.128721935611,0.00129961596857
0.55,0.0163580829393,9.66915601382e-06,0.0947293033808,0.00228501880101
0.6,0.0162016592971,1.1925123484e-05,0.0668029329848,0.00209022178253
0.65,0.0160831452077,4.67391995931e-06,0.0455922108152,0.00101942147801
0.7,0.0159952888498,5.31994664997e-06,0.0299204681786,0.000947258486512
0.75,0.0159307340575,3.29636138946e-06,0.0179352204029,0.000381609380664
0.8,0.0158896591054,3.00722942164e-06,0.0103732167495,0.00046110429553
0.85,0.0158678749521,3.70759863214e-06,0.00597047415304,0.000333062783796
0.9,0.0158542284026,2.8651488431e-06,0.00347538722552,0.000183981003388
0.95,0.0158506011182,3.3518524012e-06,0.00274502781171,0.000370306441444
1.0,0.0158479289457,3.43266704744e-06,0.00278911988863,0.000303646216732
