trial,l,l0,l_norm,c,c0,c_norm
1,3.3536336336336334,50.450450450450454,0.06647380952380952,0.06875569169392733,0.6666666666666636,0.10313353754089145
2,3.35207007007007,50.450450450450454,0.06644281746031745,0.07023305664923343,0.6666666666666636,0.10534958497385064
3,3.350162162162162,50.450450450450454,0.06640499999999999,0.06790707625707669,0.6666666666666636,0.1018606143856155
4,3.357055055055055,50.450450450450454,0.06654162698412698,0.07398351093351126,0.6666666666666636,0.11097526640026739
5,3.352898898898899,50.450450450450454,0.06645924603174604,0.06958284150490078,0.6666666666666636,0.10437426225735165
6,3.355061061061061,50.450450450450454,0.06650210317460317,0.06981478488831476,0.6666666666666636,0.10472217733247262
7,3.3482382382382383,50.450450450450454,0.06636686507936508,0.06526661443132073,0.6666666666666636,0.09789992164698154
8,3.3535515515515515,50.450450450450454,0.06647218253968254,0.06805862193362232,0.6666666666666636,0.10208793290043394
9,3.349755755755756,50.450450450450454,0.06639694444444444,0.07099391409244388,0.6666666666666636,0.1064908711386663
10,3.354894894894895,50.450450450450454,0.06649880952380952,0.06980184341802025,0.6666666666666636,0.10470276512703085
