trial,l,l0,l_norm,c,c0,c_norm
1,3.419873873873874,50.450450450450454,0.06778678571428572,0.11645861083361132,0.6666666666666636,0.17468791625041777
2,3.415123123123123,50.450450450450454,0.06769261904761904,0.11696050338550375,0.6666666666666636,0.17544075507825643
3,3.4224784784784785,50.450450450450454,0.06783841269841269,0.12003671116465281,0.6666666666666636,0.18005506674698005
4,3.419953953953954,50.450450450450454,0.06778837301587301,0.11569683176300859,0.6666666666666636,0.17354524764451368
5,3.427973973973974,50.450450450450454,0.06794734126984127,0.12414784981100813,0.6666666666666636,0.18622177471651305
6,3.421675675675676,50.450450450450454,0.0678225,0.11787035219682317,0.6666666666666636,0.17680552829523555
7,3.4135915915915915,50.450450450450454,0.0676622619047619,0.11504728718993472,0.6666666666666636,0.17257093078490288
8,3.42006006006006,50.450450450450454,0.06779047619047618,0.11873051670551717,0.6666666666666636,0.17809577505827656
9,3.4218198198198198,50.450450450450454,0.06782535714285713,0.12093629866865198,0.6666666666666636,0.1814044480029788
10,3.4316996996996996,50.450450450450454,0.06802119047619047,0.12459638417138469,0.6666666666666636,0.1868945762570779
