p,l_mean,l_std,c_mean,c_std
0.05,0.102415178571,0.00141641968527,0.855470585248,0.00622749065553
0.1,0.0880573730159,0.00103189195325,0.737128494838,0.0130035425493
0.15,0.080859765873,0.00068514016329,0.623251808192,0.0135891176253
0.2,0.0765197063492,0.000349556102507,0.519136782801,0.00904312937139
0.25,0.0735869365079,0.000290680599766,0.430977432641,0.0104348918393
0.3,0.0715961309524,0.000162495884452,0.353606362167,0.00633302292185
0.35,0.0701015555556,0.00019740877837,0.290270866315,0.00986211316463
0.4,0.0687275674603,0.000115507215736,0.224514864449,0.00889447801331
0.45,0.067817531746,0.000105981541542,0.178572201884,0.00502798459521
0.5,0.066977765873,7.86000140624e-05,0.132986854616,0.00436859767704
0.55,0.0664559404762,5.38383027006e-05,0.10415969337,0.00339567234264
0.6,0.065919984127,8.22826371643e-05,0.0751654598059,0.00354887307348
0.65,0.0655494801587,6.151992672e-05,0.0550818667156,0.00197518950764
0.7,0.0652274007937,4.49167562796e-05,0.038130405839,0.00305007956979
0.75,0.0650233015873,3.5195933633e-05,0.0281928838138,0.00200470568598
0.8,0.0648992698413,3.47333451572e-05,0.0214129395965,0.00148262872919
0.85,0.0648369642857,2.3431360825e-05,0.0171559105033,0.00196006357662
0.9,0.0647910952381,1.82923949498e-05,0.0140195777661,0.000572762060514
0.95,0.0647767460317,3.33334330644e-05,0.0138208389482,0.000986697669369
1.0,0.0647814365079,3.47771613738e-05,0.013455533615,0.00184541477043
