trial,l,l0,l_norm,c,c0,c_norm
1,7.150133626725345,250.4500900180036,0.028549135782747603,0.58892317238317,0.6666666666666268,0.8833847585748079
2,7.297107901580316,250.4500900180036,0.029135976357827473,0.5937811799311791,0.6666666666666268,0.890671769896822
3,7.172155791158231,250.4500900180036,0.0286370661341853,0.5893747718947723,0.6666666666666268,0.8840621578422113
4,7.232495699139828,250.4500900180036,0.028877992012779553,0.5908313153513128,0.6666666666666268,0.8862469730270223
5,7.225666333266654,250.4500900180036,0.028850723642172525,0.5930963403263413,0.6666666666666268,0.8896445104895652
6,7.297213362672535,250.4500900180036,0.029136397444089458,0.5939042579642572,0.6666666666666268,0.8908563869464391
7,7.18685849169834,250.4500900180036,0.02869577124600639,0.5916375291375296,0.6666666666666268,0.8874562937063476
8,7.178109061812362,250.4500900180036,0.02866083642172524,0.5896935464535447,0.6666666666666268,0.88454031968037
9,7.229609041808362,250.4500900180036,0.028866466134185306,0.592261869241867,0.6666666666666268,0.8883928038628536
10,7.228242688537708,250.4500900180036,0.02886101054313099,0.5915896558996585,0.6666666666666268,0.8873844838495408
