p,l_mean,l_std,c_mean,c_std
0.63,0.0656935952381,4.919132444e-05,0.0641851614884,0.00305791566683
0.3969,0.0688796706349,0.000197296867738,0.233484763763,0.00861161206293
0.25,0.0737645952381,0.0002337284241,0.435238134366,0.00653116743372
0.1575,0.0799520119048,0.000376239763611,0.60495967033,0.00869572500013
0.0992,0.0877925238095,0.000977554923218,0.732903109391,0.0122134660819
0.0625,0.0981745674603,0.0017123822839,0.829014844322,0.0121687785638
0.0394,0.110386198413,0.00232752325892,0.888734231602,0.00660532076864
0.0248,0.12960572619,0.00429701579738,0.933419665335,0.00619992337618
0.0156,0.150071869048,0.00729178572213,0.956557997835,0.00536483643852
0.0098,0.177103619048,0.00848381785147,0.970270865801,0.00392171822759
0.0062,0.21639715873,0.0186525344659,0.98219267316,0.00312684933048
0.0039,0.274869853175,0.0375690016556,0.988310768398,0.0040767818316
0.0025,0.353485670635,0.053662377544,0.992824924242,0.00198426477814
0.0016,0.43345256746,0.0873254764479,0.995384967532,0.00160540912542
0.001,0.591070003968,0.225878142054,0.997155530303,0.00161747366447
0.0006,0.601169380952,0.157189022004,0.997753636364,0.00121942620957
0.0004,0.796849,0.124659238612,0.998905378788,0.000682972036188
0.0002,0.896334611111,0.139514587999,0.99945469697,0.000683605289787
0.0002,0.908862492063,0.118723029372,0.999571060606,0.000536505074657
0.0001,0.955721150794,0.0933871939034,0.999916136364,0.000178634460941
