p,l_mean,l_std,c_mean,c_std
0.05,0.549074074074,0.0200660166357,0.867318331668,0.0261771194265
0.1,0.49762962963,0.0123995122599,0.758201440226,0.0263587162707
0.15,0.471266666667,0.00662880883256,0.652953796204,0.0316728129659
0.2,0.452962962963,0.00593260939979,0.550966400266,0.0255923877133
0.25,0.441622222222,0.00345077960704,0.480910602878,0.0328100066665
0.3,0.435914814815,0.0034507464805,0.429575397642,0.0348406463862
0.35,0.426577777778,0.00150112491477,0.334844272394,0.0242756550084
0.4,0.42382962963,0.0023813531572,0.313654100067,0.0245286272142
0.45,0.418511111111,0.00219807178805,0.256633795371,0.0193410741847
0.5,0.414955555556,0.0020057682403,0.22923034539,0.0191275128067
0.55,0.4129,0.00149071709717,0.206973853597,0.013438109829
0.6,0.412081481481,0.00204176779515,0.186582317682,0.0209705723523
0.65,0.409351851852,0.00126436269176,0.1698811703,0.0148972055885
0.7,0.40862962963,0.00107002215704,0.152414952488,0.0116086040026
0.75,0.408125925926,0.00109913990012,0.150095408268,0.0134591715465
0.8,0.408322222222,0.00118416236729,0.145916199487,0.00672853711862
0.85,0.408014814815,0.00105599947347,0.139828449737,0.0103052328151
0.9,0.407662962963,0.00100864273086,0.137710197259,0.0108124863763
0.95,0.407877777778,0.000783352547216,0.148766974202,0.0124689631342
1.0,0.407340740741,0.00109519464168,0.139195631329,0.0143679572135
