node,avg_shortest_path_length,clustering_coeff
0,1.793103448275862,0.8055555555555556
1,1.5172413793103448,0.6571428571428571
2,1.5172413793103448,0.6952380952380952
3,1.5517241379310345,0.6703296703296703
4,1.6206896551724137,0.7692307692307693
5,1.3103448275862069,0.4142857142857143
6,1.9310344827586208,0.6
7,1.793103448275862,0.8
8,1.4482758620689655,0.6666666666666666
9,1.5172413793103448,0.5620915032679739
10,1.7586206896551724,0.5555555555555556
11,1.793103448275862,0.5384615384615384
12,2.0689655172413794,0.6785714285714286
13,2.0689655172413794,0.6888888888888889
14,2.1379310344827585,0.6222222222222222
15,1.9655172413793103,0.7142857142857143
16,1.7241379310344827,0.509090909090909
17,2.103448275862069,0.8666666666666667
18,1.5517241379310345,0.4835164835164835
19,1.7241379310344827,0.6
20,1.4482758620689655,0.5514705882352942
21,1.7586206896551724,0.6282051282051282
22,1.7586206896551724,0.6666666666666666
23,1.7241379310344827,0.6388888888888888
24,1.4482758620689655,0.65
25,1.7586206896551724,0.8363636363636363
26,1.6896551724137931,0.6545454545454545
27,1.6206896551724137,0.4857142857142857
28,1.5517241379310345,0.48917748917748916
29,1.8275862068965518,0.5142857142857142
