node,avg_shortest_path_length,clustering_coeff
0,2.0652173913043477,0.7222222222222222
1,2.0869565217391304,0.7111111111111111
2,2.1739130434782608,0.7857142857142857
3,2.108695652173913,0.7555555555555555
4,1.6956521739130435,0.44761904761904764
5,1.565217391304348,0.4045584045584046
6,2.1956521739130435,0.9333333333333333
7,1.9782608695652173,0.7047619047619048
8,2.152173913043478,0.8
9,2.5869565217391304,0.7
10,2.152173913043478,0.75
11,1.826086956521739,0.4853801169590643
12,1.673913043478261,0.48095238095238096
13,1.608695652173913,0.4675324675324675
14,2.282608695652174,0.4222222222222222
15,2.4130434782608696,0.6190476190476191
16,2.608695652173913,0.6666666666666666
17,2.152173913043478,0.5833333333333334
18,1.9782608695652173,0.6794871794871795
19,1.7173913043478262,0.45584045584045585
20,1.8043478260869565,0.5476190476190477
21,1.8695652173913044,0.5604395604395604
22,1.7391304347826086,0.6190476190476191
23,2.5,1.0
24,2.1739130434782608,0.8666666666666667
25,2.0434782608695654,0.6911764705882353
26,2.1956521739130435,0.6813186813186813
27,1.7608695652173914,0.6374269005847953
28,2.239130434782609,0.6727272727272727
29,2.5869565217391304,0.4666666666666667
30,2.630434782608696,0.5
31,1.891304347826087,0.543859649122807
32,2.108695652173913,0.9333333333333333
33,1.7608695652173914,0.4666666666666667
34,2.239130434782609,0.9523809523809523
35,2.239130434782609,0.9
36,1.8695652173913044,0.5164835164835165
37,1.7173913043478262,0.39384615384615385
38,1.8478260869565217,0.4083333333333333
39,2.239130434782609,0.6363636363636364
40,1.826086956521739,0.6140350877192983
41,1.9782608695652173,0.780952380952381
42,2.108695652173913,0.7948717948717948
43,1.7391304347826086,0.42292490118577075
44,2.1956521739130435,0.8181818181818182
45,1.8478260869565217,0.6368421052631579
46,2.369565217391304,0.5
